time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.847302189470088e-08,3.8130668246802255e-07,10.069947472106199,0.00010179721729564051,1.165750714449132e-05,0.0,-3.8109197716710094e-06,3.554459975911233e-05,2.329941918020061,0.004891008530751893,0.0005801346759902509,0.0,899.9502068715789,899.9736800382738,899.8020865496236,900.1336359021499
0.12000000000000001,-2.288070820183954e-06,1.593780965029333e-05,10.279012655992755,0.0003510936166417622,0.00016549343978411457,0.0,-0.00011244367734721827,0.0005981953972518381,4.632611135882165,0.002640397145743445,0.006262957510371452,0.0,899.770036327801,900.0678813919096,899.8890540165431,899.797867250225
0.18,-2.955937320243796e-05,8.428238040198615e-05,10.624662388730842,0.0005095460792388096,0.0006748649295174047,0.0,-0.0009804783662092733,0.0017421818013046808,6.878418275453216,0.0026418292251223162,0.012607601158141078,0.0,899.7256782618667,899.982354496263,900.1309748157145,900.0488030440139
0.23999999999999996,-0.00015633326630920273,0.0002338084914585265,11.102608324304747,0.000767129780980369,0.001568443964336197,0.0,-0.0035689570675988855,0.0033191315246664595,9.038671042004475,0.007406741165375481,0.019111416100975047,0.0,899.699847850227,899.9629233940799,899.7206833183486,899.9135013585051
0.3,-0.000512533548829318,0.0005003698016359809,11.707013106176877,0.0011093634307997036,0.002795572133221569,0.0,-0.008734666066336674,0.00570521464157972,11.090582662788588,0.002059496911616371,0.023007079588382894,0.0,899.6883035587729,899.8457866068287,900.0019107648039,899.7834076256116
0.36000000000000004,-0.0012685524034516575,0.0009287257326693633,12.43080764556057,0.0012329559482155972,0.004258424454491205,0.0,-0.016930909012895276,0.00859641232358971,13.01597735903398,0.0020606323321405487,0.02699575908857031,0.0,899.6964895257937,899.8577503566572,900.1675916220998,900.1394661904773
0.4200000000000001,-0.0026120563878714786,0.0015349708448685198,13.265965536286373,0.0014414240811655432,0.006003787361073876,0.0,-0.02834221364178205,0.011642977333492559,14.801156439587778,0.0061623333801241785,0.03297805771507554,0.0,899.6835209172416,899.9255404947033,899.8340029176069,900.0461258644496
0.48000000000000015,-0.004742211499640523,0.00233536320590597,14.20383800929199,0.0018295506680541251,0.008043711438014078,0.0,-0.04317836499168799,0.015126897028868715,16.43902482032364,0.007074796298271502,0.035965464620255495,0.0,899.8285631380703,899.949356810921,899.9631856304161,900.041265316901
0.5400000000000001,-0.0078645422311186,0.003363065792513476,15.235439611315877,0.0023115347524784724,0.010382470873721239,0.0,-0.06139764299442562,0.0192251786525067,17.925400792941574,0.009884044049064124,0.044411614773309245,0.0,899.4752834341593,899.8172998204507,899.8864026918362,900.0826747315604
0.6000000000000002,-0.01218446820648726,0.004657956244557121,16.351729502270846,0.0029384647928036856,0.013241382517457545,0.0,-0.08314613080365134,0.024057047731294537,19.262479130013368,0.011555235752812284,0.05344140813230851,0.0,899.4957623314612,899.8616234422722,899.7832953362417,899.8507907781243
0.6600000000000003,-0.017922332141418307,0.006267130550451162,17.54391579828884,0.0036566254880971982,0.016436591967764258,0.0,-0.1086675363866456,0.029702190976009256,20.456228655234398,0.012785021099021727,0.05287509750075673,0.0,899.7672419250822,899.7445894711373,899.9202771717826,899.9698736399581
0.7200000000000003,-0.025294608080189386,0.008238628047432316,18.80358125133994,0.004339368615095651,0.019679075620938846,0.0,-0.13752099935434978,0.03611507277761247,21.513078622050067,0.008407165453587336,0.05627687589979073,0.0,899.7553540289606,899.8934432822466,899.8104432123542,899.6329159909546
0.7800000000000004,-0.034485065429849714,0.010609771499818954,20.12281126988597,0.004904263575943091,0.023064199740823632,0.0,-0.1692207455615899,0.042961748993839255,22.443204784778175,0.011358048893355267,0.05670086783404381,0.0,899.9824327870452,900.054675368211,899.5605328449946,899.679907342992
0.8400000000000004,-0.04565187054461944,0.013401242810869955,21.494310679436975,0.00555572541534044,0.02654476904467451,0.0,-0.2033331174405865,0.05014115315440177,23.256993988170382,0.009837641950245078,0.06050527586659119,0.0,899.825116443068,899.9796553621668,899.7778159024941,899.7160362508683
0.9000000000000005,-0.05893039187128448,0.016632181859293462,22.91143187106435,0.005999640793128869,0.03027861941514587,0.0,-0.23959367102528056,0.057571979127742035,23.965560028778793,0.002009140049146973,0.0654749349853448,0.0,899.7980873770875,900.0877114176454,900.0552045239732,899.6827707267963
0.9600000000000005,-0.07444690431207428,0.02030578887748615,24.368180876919528,0.006088774201256086,0.034206729781039336,0.0,-0.27792229472328756,0.06482059794052544,24.57952602590504,0.0004170840376700399,0.06545565191218619,0.0,900.045132527163,900.2318580105597,899.7688540221201,899.704326067578
1.0200000000000005,-0.09232015987470525,0.02440192805317128,25.859197877514497,0.006457019157003252,0.03813368375801662,0.0,-0.31810754376589073,0.07168113253333254,25.10935891088135,0.015646656713863127,0.06543639838240063,0.0,900.2094449062521,900.3075348757045,899.3831085463106,900.1627302730363
1.0800000000000005,-0.1126537253754837,0.028912723787121567,27.379741470658246,0.007749651808198088,0.04206111170693294,0.0,-0.35990226938139547,0.07878347041596075,25.565173164639827,0.03129718757610852,0.06549855329661979,0.0,899.9967028417534,900.1383128398846,899.3661797744154,900.395477886984
1.1400000000000006,-0.13553985820398132,0.033879250614824954,28.925671158612733,0.00966798014078396,0.04607020427817776,0.0,-0.4031804953697192,0.08696570540095486,25.95685622540031,0.03328885887740806,0.06933390227106302,0.0,899.8438097772333,900.0297817489073,899.91953210129,900.257164410545
